AccessionName	Accession_ID	Surroundingcoverage	Windowcoverage	TDcopy
F1-7	3541	21.2444185272	41.5855181024	1.95747970457
F1-7	3541	21.2444185272	38.9176029963	1.83189777336
F1-7	3541	21.2444185272	39.3920099875	1.85422867362
F1-7	3541	21.2444185272	44.5855181024	2.09869326597
F1-7	3541	21.2444185272	46.0124843945	2.16586226334
F1-7	3541	21.2444185272	41.3021223471	1.94413992994
F1-7	3541	21.2444185272	43.2821473159	2.03734205577
F1-7	3541	21.2444185272	43.4244694132	2.04404132585
F1-7	3541	21.2444185272	43.4157303371	2.04362996716
F1-7	3541	21.2444185272	47.3171036205	2.22727223906
F1-7	3541	21.2444185272	47.0986267166	2.21698827183
F1-7	3541	21.2444185272	45.9837702871	2.16451065622
F1-7	3541	21.2444185272	44.0661672909	2.07424680673
F1-7	3541	21.2444185272	39.304619226	1.85011508673
F1-7	3541	21.2444185272	38.77278402	1.82508097223
F1-7	3541	21.2444185272	42.5980024969	2.00513854698
F1-7	3541	21.2444185272	46.0774032459	2.16891807074
F1-7	3541	21.2444185272	48.7602996255	2.29520518828
F1-7	3541	21.2444185272	48.468164794	2.28145405496
F1-7	3541	21.2444185272	46.9962546816	2.21216949862
F1-7	3541	21.2444185272	47.4806491885	2.2349705231
F1-7	3541	21.2444185272	49.8314606742	2.34562601045
F1-7	3541	21.2444185272	50.6279650437	2.38311841668
F1-7	3541	21.2444185272	51.8689138577	2.44153135052
F1-7	3541	21.2444185272	45.0786516854	2.12190564914
F1-7	3541	21.2444185272	33.6217228464	1.5826144078
F1-7	3541	21.2444185272	35.1036204744	1.65236908836
F1-7	3541	21.2444185272	42.2896379526	1.9906234618
F1-7	3541	21.2444185272	43.3220973783	2.03922255264
F1-7	3541	21.2444185272	40.5368289638	1.90811666189
F1-7	3541	21.2444185272	39.7690387016	1.87197586278
F1-7	3541	21.2444185272	42.4594257179	1.99861557348
F1-7	3541	21.2444185272	44.8701622971	2.11209180613
F1-7	3541	21.2444185272	40.2297128589	1.89366034224
F1-7	3541	21.2444185272	37.0611735331	1.7445134347
F1-7	3541	21.2444185272	39.7240948814	1.86986030381
F1-7	3541	21.2444185272	34.7016229713	1.63344658866
F1-7	3541	21.2444185272	30.8801498127	1.4535653105
F1-7	3541	21.2444185272	39.3520599251	1.85234817676
F1-7	3541	21.2444185272	43.2372034956	2.0352264968
F1-7	3541	21.2444185272	47.6504369538	2.24296263477
F1-7	3541	21.2444185272	51.518102372	2.42501823743
F1-7	3541	21.2444185272	49.3782771536	2.32429412415
F1-7	3541	21.2444185272	42.8639200999	2.01765560423
F1-7	3541	21.2444185272	39.936329588	1.8798504434
F1-7	3541	21.2444185272	46.4868913858	2.1881931636
F1-7	3541	21.2444185272	49.0212234707	2.30748718342
F1-7	3541	21.2444185272	49.7378277154	2.34121859592
F1-7	3541	21.2444185272	50.8601747815	2.3940488047
F1-7	3541	21.2444185272	48.5056179775	2.28321702077
F1-7	3541	21.2444185272	46.709113608	2.19865342741
F1-7	3541	21.2444185272	44.5630461923	2.09763548648
F1-7	3541	21.2444185272	40.2846441948	1.89624602543
F1-7	3541	21.2444185272	32.2109862672	1.51620936228
F1-7	3541	21.2444185272	31.4244694132	1.47918708027
F1-7	3541	21.2444185272	39.0374531835	1.83753926395
F1-7	3541	21.2444185272	43.4382022472	2.04468774665
F1-7	3541	21.2444185272	52.1235955056	2.45351951803
F1-7	3541	21.2444185272	54.7952559301	2.57927774582
F1-7	3541	21.2444185272	45.606741573	2.14676346706
F1-7	3541	21.2444185272	40.3583021223	1.89971319153
F1-7	3541	21.2444185272	38.3058676654	1.80310266513
F1-7	3541	21.2444185272	34.5642946317	1.62698238069
F1-7	3541	21.2444185272	34.8039950062	1.63826536188
F1-7	3541	21.2444185272	37.8302122347	1.78071299934
F1-7	3541	21.2444185272	38.734082397	1.82325924089
F1-7	3541	21.2444185272	36.9725343321	1.74034108229
F1-7	3541	21.2444185272	40.0674157303	1.88602082373
F1-7	3541	21.2444185272	44.2134831461	2.08118113892
F1-7	3541	21.2444185272	40.0599250936	1.88566823057
F1-7	3541	21.2444185272	38.8601747815	1.82919455912
F1-7	3541	21.2444185272	41.6729088639	1.96159329146
F1-7	3541	21.2444185272	41.7253433208	1.9640614436
F1-7	3541	21.2444185272	44.1036204744	2.07600977254
F1-7	3541	21.2444185272	46.4194756554	2.18501982514
F1-7	3541	21.2444185272	46.8139825218	2.20358973167
F1-7	3541	21.2444185272	51.950062422	2.44535110978
F1-7	3541	21.2444185272	50.3270911361	2.36895592467
F1-7	3541	21.2444185272	39.8838951311	1.87738229126
F1-7	3541	21.2444185272	35.3270911361	1.66288811769
F1-7	3541	21.2444185272	35.1985018727	1.65683526841
F1-7	3541	21.2444185272	38.6579275905	1.81967454374
F1-7	3541	21.2444185272	43.6791510612	2.05602949336
